timestamp,symbol,open,high,low,close,volume,amount
2026-09-07 09:35:00,002256.SZ,3.2900,3.3700,3.2900,3.3700,9065600,30262999.0000
2026-09-07 09:40:00,002256.SZ,3.3700,3.3800,3.3500,3.3600,4881300,16439642.0000
2026-09-07 09:45:00,002256.SZ,3.3600,3.3700,3.3400,3.3500,1480800,4963147.0000
2026-09-07 09:50:00,002256.SZ,3.3500,3.3600,3.3400,3.3400,1099800,3686648.0000
2026-09-07 09:55:00,002256.SZ,3.3400,3.3500,3.3400,3.3500,300700,1005842.0000
2026-09-07 10:00:00,002256.SZ,3.3400,3.3500,3.3300,3.3300,715400,2387754.0000
2026-09-07 10:05:00,002256.SZ,3.3400,3.3400,3.3300,3.3400,250200,834124.0000
2026-09-07 10:10:00,002256.SZ,3.3300,3.3500,3.3300,3.3500,537800,1795869.0000
2026-09-07 10:15:00,002256.SZ,3.3400,3.3400,3.3300,3.3300,443800,1481030.0000
2026-09-07 10:20:00,002256.SZ,3.3400,3.3500,3.3300,3.3400,323300,1080185.0000
2026-09-07 10:25:00,002256.SZ,3.3400,3.3500,3.3400,3.3500,107400,359082.0000
2026-09-07 10:30:00,002256.SZ,3.3500,3.3500,3.3400,3.3400,150500,502776.0000
2026-09-07 10:35:00,002256.SZ,3.3400,3.3500,3.3400,3.3500,219500,734287.0000
2026-09-07 10:40:00,002256.SZ,3.3500,3.3700,3.3500,3.3600,2471987,8294860.4500
2026-09-07 10:45:00,002256.SZ,3.3600,3.3700,3.3500,3.3600,423200,1421915.0000
2026-09-07 10:50:00,002256.SZ,3.3600,3.3600,3.3500,3.3600,149100,500347.0000
2026-09-07 10:55:00,002256.SZ,3.3600,3.3600,3.3500,3.3500,181500,608461.0000
2026-09-07 11:00:00,002256.SZ,3.3600,3.3600,3.3400,3.3400,311100,1042318.0000
2026-09-07 11:05:00,002256.SZ,3.3500,3.3500,3.3400,3.3500,60100,201191.0000
2026-09-07 11:10:00,002256.SZ,3.3400,3.3500,3.3400,3.3400,62100,207967.0000
2026-09-07 11:15:00,002256.SZ,3.3500,3.3500,3.3400,3.3500,118800,397763.0000
2026-09-07 11:20:00,002256.SZ,3.3500,3.3500,3.3400,3.3500,66100,220886.0000
2026-09-07 11:25:00,002256.SZ,3.3500,3.3500,3.3400,3.3400,13500,45092.0000
2026-09-07 11:30:00,002256.SZ,3.3400,3.3500,3.3400,3.3400,94800,316784.0000
2026-09-07 13:05:00,002256.SZ,3.3500,3.3500,3.3300,3.3400,897800,2998562.0000
2026-09-07 13:10:00,002256.SZ,3.3400,3.3500,3.3300,3.3400,322400,1076624.0000
2026-09-07 13:15:00,002256.SZ,3.3400,3.3500,3.3300,3.3400,295200,985774.0000
2026-09-07 13:20:00,002256.SZ,3.3300,3.3400,3.3300,3.3400,31200,104147.0000
2026-09-07 13:25:00,002256.SZ,3.3400,3.3400,3.3300,3.3300,101700,338838.0000
2026-09-07 13:30:00,002256.SZ,3.3300,3.3500,3.3300,3.3400,333900,1114293.0000
2026-09-07 13:35:00,002256.SZ,3.3400,3.3500,3.3400,3.3500,239600,801906.0000
2026-09-07 13:40:00,002256.SZ,3.3400,3.3500,3.3400,3.3400,648500,2172099.0000
2026-09-07 13:45:00,002256.SZ,3.3400,3.3500,3.3400,3.3500,60900,203855.0000
2026-09-07 13:50:00,002256.SZ,3.3500,3.3600,3.3400,3.3500,394000,1320624.0000
2026-09-07 13:55:00,002256.SZ,3.3500,3.3600,3.3400,3.3400,278900,934237.0000
2026-09-07 14:00:00,002256.SZ,3.3500,3.3500,3.3400,3.3400,49400,165074.0000
2026-09-07 14:05:00,002256.SZ,3.3400,3.3500,3.3400,3.3400,108600,363251.0000
2026-09-07 14:10:00,002256.SZ,3.3400,3.3500,3.3400,3.3400,59400,198536.0000
2026-09-07 14:15:00,002256.SZ,3.3400,3.3500,3.3400,3.3400,114000,381088.0000
2026-09-07 14:20:00,002256.SZ,3.3400,3.3500,3.3400,3.3400,103900,347435.0000
2026-09-07 14:25:00,002256.SZ,3.3400,3.3500,3.3400,3.3400,60900,203830.0000
2026-09-07 14:30:00,002256.SZ,3.3400,3.3500,3.3400,3.3400,109100,364672.0000
2026-09-07 14:35:00,002256.SZ,3.3500,3.3500,3.3400,3.3400,388100,1297099.0000
2026-09-07 14:40:00,002256.SZ,3.3500,3.3500,3.3400,3.3400,227600,760833.0000
2026-09-07 14:45:00,002256.SZ,3.3400,3.3500,3.3400,3.3500,240200,803044.0000
2026-09-07 14:50:00,002256.SZ,3.3400,3.3500,3.3300,3.3300,1473600,4922717.0000
2026-09-07 14:55:00,002256.SZ,3.3400,3.3500,3.3300,3.3500,1035200,3457383.0000
2026-09-07 15:00:00,002256.SZ,3.3400,3.3500,3.3400,3.3400,642600,2148465.0000
